测试,#genre#
CCTV09,http://28918185.xyz:35455/gaoma/cctv9.m3u8
CCTV10,http://28918185.xyz:35455/gaoma/cctv10.m3u8
CCTV11,http://28918185.xyz:35455/gaoma/cctv11.m3u8
CCTV12,http://28918185.xyz:35455/gaoma/cctv12.m3u8
CCTV13,http://28918185.xyz:35455/gaoma/cctv13.m3u8
CCTV14,http://28918185.xyz:35455/gaoma/cctv14.m3u8
CCTV15,http://28918185.xyz:35455/gaoma/cctv15.m3u8
CCTV16,http://28918185.xyz:35455/gaoma/cctv16.m3u8
CCTV17,http://28918185.xyz:35455/gaoma/cctv17.m3u8

CCTV01,http://www.terrykang.xyz:35455/gaoma/cctv1.m3u8
CCTV02,http://www.terrykang.xyz:35455/gaoma/cctv2.m3u8
CCTV03,http://www.terrykang.xyz:35455/gaoma/cctv3.m3u8
CCTV04,http://www.terrykang.xyz:35455/gaoma/cctv4.m3u8
CCTV05,http://www.terrykang.xyz:35455/gaoma/cctv5.m3u8
CCTV5+,http://www.terrykang.xyz:35455/gaoma/cctv5p.m3u8
CCTV06,http://www.terrykang.xyz:35455/gaoma/cctv6.m3u8
CCTV07,http://www.terrykang.xyz:35455/gaoma/cctv7.m3u8
CCTV08,http://www.terrykang.xyz:35455/gaoma/cctv8.m3u8
CCTV09,http://www.terrykang.xyz:35455/gaoma/cctv9.m3u8
CCTV10,http://www.terrykang.xyz:35455/gaoma/cctv10.m3u8
CCTV11,http://www.terrykang.xyz:35455/gaoma/cctv11.m3u8
CCTV12,http://www.terrykang.xyz:35455/gaoma/cctv12.m3u8
CCTV13,http://www.terrykang.xyz:35455/gaoma/cctv13.m3u8
CCTV14,http://www.terrykang.xyz:35455/gaoma/cctv14.m3u8
CCTV15,http://www.terrykang.xyz:35455/gaoma/cctv15.m3u8
CCTV16,http://www.terrykang.xyz:35455/gaoma/cctv16.m3u8
CCTV17,http://www.terrykang.xyz:35455/gaoma/cctv17.m3u8

CCTV01,http://www.terrykang.xyz:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV02,http://www.terrykang.xyz:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV03,http://www.terrykang.xyz:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV04,http://www.terrykang.xyz:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
